Matchday,Pairings,Groups,Date
1,1 vs 2 3 vs 4,A,June 11
1,1 vs 2 3 vs 4,B & D,June 12
1,1 vs 2 3 vs 4,"B, C & D",June 13
1,1 vs 2 3 vs 4,E & F,June 14
1,1 vs 2 3 vs 4,G & H,June 15
1,1 vs 2 3 vs 4,I & J,June 16
1,1 vs 2 3 vs 4,K & L,June 17
2,1 vs 3 4 vs 2,A & B,June 18
2,1 vs 3 4 vs 2,C & D,June 19
2,1 vs 3 4 vs 2,E & F,June 20
2,1 vs 3 4 vs 2,G & H,June 21
2,1 vs 3 4 vs 2,I & J,June 22
2,1 vs 3 4 vs 2,K & L,June 23
3,4 vs 1 2 vs 3,"A, B & C",June 24
3,4 vs 1 2 vs 3,"D, E & F",June 25
3,4 vs 1 2 vs 3,"G, H & I",June 26
3,4 vs 1 2 vs 3,"J, K & L",June 27
