City,Stadium,Number of matches,Capacity,Image
Mexico City,Estadio Azteca† (Mexico City Stadium),"5 (3 group, 2 knockout)",80824,
"New York/New Jersey (East Rutherford, New Jersey)",MetLife Stadium (New York New Jersey Stadium),"8 (5 group, 2 knockout, and the final)",80663,
"Dallas (Arlington, Texas)",AT&T Stadium‡ (Dallas Stadium),"9 (5 group, 4 knockout)",70649,
"Los Angeles (Inglewood, California)",SoFi Stadium‡ (Los Angeles Stadium),"8 (5 group, 3 knockout)",70492,
Kansas City,Arrowhead Stadium (Kansas City Stadium),"6 (4 group, 2 knockout)",69045,
"San Francisco Bay Area (Santa Clara, California)",Levi's Stadium (San Francisco Bay Area Stadium),"6 (5 group, 1 knockout)",68827,
Houston,NRG Stadium‡ (Houston Stadium),"7 (5 group, 2 knockout)",68777,
Philadelphia,Lincoln Financial Field (Philadelphia Stadium),"6 (5 group, 1 knockout)",68324,
Atlanta,Mercedes-Benz Stadium‡ (Atlanta Stadium),"8 (5 group, 3 knockout)",68239,
Seattle,Lumen Field (Seattle Stadium),"6 (4 group, 2 knockout)",66925,
"Miami (Miami Gardens, Florida)",Hard Rock Stadium (Miami Stadium),"7 (4 group, 2 knockout, and third-place)",64478,
"Boston (Foxborough, Massachusetts)",Gillette Stadium (Boston Stadium),"7 (5 group, 2 knockout)",64146,
Vancouver,BC Place‡ (BC Place Vancouver),"7 (5 group, 2 knockout)",52497,
"Monterrey (Guadalupe, Nuevo León)",Estadio BBVA (Estadio Monterrey),"4 (3 group, 1 knockout)",51243,
"Guadalajara (Zapopan, Jalisco)",Estadio Akron (Estadio Guadalajara),4 (4 group),45664,
Toronto,BMO Field (Toronto Stadium),"6 (5 group, 1 knockout)",43036,
